ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
48,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI NGỌC TẤN,ĐL-051CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI NGỌC TẤN,Đại lý tổng,,Tỉnh Bình Phước,Huyện Chơn Thành,"Đường số 7, Khu phố 1, Thị Trấn Chơn Thành",salesbd,Có hiệu lực
49,CÔNG TY TNHH THƯƠNG MẠI GAS TIỆN LỢI,ĐL-052CÔNG TY TNHH THƯƠNG MẠI GAS TIỆN LỢI,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức," Số 66 đường Dương Đình Hội, Phường Phước Long B",,Có hiệu lực
50,CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,ĐL-053CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 20 đường Làng Tăng Phú, Phường Tăng Nhơn Phú A",saleshcm,Có hiệu lực
51,Cửa Hàng Kinh Doanh LPG Nghĩa,ĐL-054Cửa Hàng Kinh Doanh LPG Nghĩa,Đại lý thứ 2,CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"255 Đường Linh Đông, KP.3, P.Linh Đông",saleshcm,Có hiệu lực
52,CÔNG TY TRÁCH NHIỆM HỮU HẠN GAS TÂN LONG,ĐL-055CÔNG TY TRÁCH NHIỆM HỮU HẠN GAS TÂN LONG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Ô 18B, lô DC 07, đường 17, Khu dân cư Việt Sing, Phường An Phú",,Có hiệu lực
53,CÔNG TY CỔ PHẦN VIỆT BABY,ĐL-056CÔNG TY CỔ PHẦN VIỆT BABY,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"162 Đường 30, Phường Bình Trị Đông B",,Có hiệu lực
54,Cửa Hàng Bán Lẻ LPG Chai Hoàng Sang,ĐL-057Cửa Hàng Bán Lẻ LPG Chai Hoàng Sang,Đại lý tổng,,Tỉnh Bình Phước,Huyện Chơn Thành,"Khu Phố 2, Thị trấn Chơn Thành",salesbd,Có hiệu lực
55,TRƯỜNG TIỂU HỌC TƯ THỤC NHỰT TÂN,ĐL-058TRƯỜNG TIỂU HỌC TƯ THỤC NHỰT TÂN,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Gò Vấp,3 Đường số 9 ,,Có hiệu lực
56,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM ÁNH HỒNG,ĐL-059CHI NHÁNH CÔNG TY TNHH THỰC PHẨM ÁNH HỒNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 22A đường số 8, Khu Công nghiệp Việt Nam - Singapore, Phường An Phú",,Có hiệu lực
57, Cửa Hàng Bán Lẻ LPG Chai Hải Âu,ĐL-060 Cửa Hàng Bán Lẻ LPG Chai Hải Âu,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"309/37 Võ Văn Ngân, Khu phố 5 - Phường Linh Chiểu",salesbd,Có hiệu lực
58,CÔNG TY TNHH EINS VINA,ĐL-061CÔNG TY TNHH EINS VINA,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 7A Đại lộ Thống Nhất, Khu công nghiệp Sóng Thần 2, Phường Dĩ An",salesbd,Có hiệu lực
